1.00,0
0.98,0.2436
0.96,0.3416
0.94,0.4148
0.92,0.4749
0.90,0.5263
0.88,0.5715
0.86,0.6117
0.84,0.648
0.82,0.681
0.80,0.711
0.78,0.7386
0.76,0.764
0.74,0.7874
0.72,0.8089
0.70,0.8288
0.68,0.8471
0.66,0.864
0.64,0.8796
0.62,0.8939
0.60,0.907
0.58,0.919
0.56,0.9299
0.54,0.9399
0.52,0.9488
0.50,0.9569
0.48,0.9641
0.46,0.9704
0.44,0.976
0.42,0.9809
0.40,0.985
0.38,0.9885
0.36,0.9915
0.34,0.9938
0.32,0.9957
0.30,0.9971
0.28,0.9982
0.26,0.9989
0.24,0.9994
0.22,0.9997
0.20,0.9999
0.18,1
0.16,1
0.14,1