t,Entropy
1.00,1
0.98,0.9519
0.96,0.9048
0.94,0.8587
0.92,0.8136
0.90,0.7694
0.88,0.7263
0.86,0.6842
0.84,0.6432
0.82,0.6032
0.80,0.5643
0.78,0.5266
0.76,0.49
0.74,0.4546
0.72,0.4203
0.70,0.3873
0.68,0.3554
0.66,0.3249
0.64,0.2956
0.62,0.2676
0.60,0.241
0.58,0.2157
0.56,0.1918
0.54,0.1693
0.52,0.1482
0.50,0.1285
0.48,0.1103
0.46,0.0937
0.44,0.0784
0.42,0.0646
0.40,0.0524
0.38,0.0416
0.36,0.0322
0.34,0.0243
0.32,0.0177
0.30,0.0124
0.28,0.0082
0.26,0.0051
0.24,0.003
0.22,0.0016
0.20,0.0007
0.18,0.0003
0.16,0.0001
0.14,0